sensor_type,date,recorded
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 7:01:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 7:05:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 7:21:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 7:25:13 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 7:29:13 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 7:49:13 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 7:57:13 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 8:05:13 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 8:21:13 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 8:25:13 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 8:29:13 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 8:33:13 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 9:53:13 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 9:57:13 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 10:01:13 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 10:05:13 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 10:25:13 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 10:29:13 PM,88
ms_p2:sensor:, 2/8/2016 12:57:20 AM,255
ms_p2:sensor:, 2/8/2016 12:57:22 AM,0
ms_p2:sensor:, 2/8/2016 1:02:30 AM,255
ms_p2:sensor:, 2/8/2016 1:02:33 AM,0
ms_p2:sensor:, 2/8/2016 1:02:49 AM,255
ms_p2:sensor:, 2/8/2016 1:02:51 AM,0
ms_p2:sensor:, 2/8/2016 1:03:04 AM,255
ms_p2:sensor:, 2/8/2016 1:03:07 AM,0
ms_p2:sensor:, 2/8/2016 1:03:19 AM,255
ms_p2:sensor:, 2/8/2016 1:03:21 AM,0
ms_p2:sensor:, 2/8/2016 1:03:53 AM,255
ms_p2:sensor:, 2/8/2016 1:03:55 AM,0
ms_p2:sensor:, 2/8/2016 1:04:06 AM,255
ms_p2:sensor:, 2/8/2016 1:04:09 AM,0
ms_p2:sensor:, 2/8/2016 1:07:13 AM,255
ms_p2:sensor:, 2/8/2016 1:07:13 AM,0
ms_p2:sensor:, 2/8/2016 1:07:13 AM,255
ms_p2:sensor:, 2/8/2016 1:07:13 AM,0
ms_p2:sensor:, 2/8/2016 1:07:14 AM,255
ms_p2:sensor:, 2/8/2016 1:07:14 AM,0
ms_p2:sensor:, 2/8/2016 1:07:14 AM,255
ms_p2:sensor:, 2/8/2016 1:07:14 AM,0
ms_p2:sensor:, 2/8/2016 1:07:14 AM,255
ms_p2:sensor:, 2/8/2016 1:07:14 AM,0
ms_p2:sensor:, 2/8/2016 1:07:14 AM,255
ms_p2:sensor:, 2/8/2016 1:07:14 AM,0
ms_p2:sensor:, 2/8/2016 1:08:31 AM,255
